Data/Hora,RSSI (dBm),SNR (dB),Frame Counter,Data Rate
2026-06-12 13:04:39,-94,7.5,24814,2
2026-06-12 13:05:39,-88,10.5,24815,2
2026-06-12 13:06:39,-88,8.300000190734863,24816,2
2026-06-12 13:07:39,-88,11,24817,2
2026-06-12 13:08:39,-91,10,24818,2
2026-06-12 13:09:39,-90,9.300000190734863,24819,2
2026-06-12 13:10:39,-91,10.300000190734863,24820,2
2026-06-12 13:11:39,-93,11.800000190734863,24821,2
2026-06-12 13:12:40,-89,9.300000190734863,24822,2
2026-06-12 13:13:39,-91,9.5,24823,2
2026-06-12 13:14:39,-90,9.5,24824,2
2026-06-12 13:15:39,-89,9.800000190734863,24825,2
2026-06-12 13:16:40,-90,10.800000190734863,24826,2
2026-06-12 13:17:39,-93,10.300000190734863,24827,2
2026-06-12 13:18:40,-88,10.800000190734863,24828,2
2026-06-12 13:19:39,-92,9,24829,2
2026-06-12 13:20:39,-92,10,24830,2
2026-06-12 13:21:39,-88,8.300000190734863,24831,2
2026-06-12 13:22:39,-88,10.300000190734863,24832,2
2026-06-12 13:23:40,-90,11.5,24833,2
2026-06-12 13:24:39,-91,10.800000190734863,24834,2
2026-06-12 13:25:39,-87,12.800000190734863,24835,2
2026-06-12 13:26:39,-89,9.5,24836,2
2026-06-12 13:27:40,-88,9.800000190734863,24837,2
2026-06-12 13:28:39,-92,10.5,24838,2
2026-06-12 13:29:40,-88,11.800000190734863,24839,2
2026-06-12 13:30:39,-89,12,24840,2
2026-06-12 13:32:39,-92,9.800000190734863,24842,2
2026-06-12 13:33:39,-89,10.300000190734863,24843,2
2026-06-12 13:34:39,-92,9.800000190734863,24844,2
2026-06-12 13:35:40,-88,11,24845,2
2026-06-12 13:36:39,-88,10.800000190734863,24846,2
2026-06-12 13:37:39,-87,12.300000190734863,24847,2
2026-06-12 13:38:39,-93,11,24848,2
2026-06-12 13:39:39,-85,11.5,24849,2
2026-06-12 13:40:39,-87,11.5,24850,2
2026-06-12 13:41:39,-89,10.5,24851,2
2026-06-12 13:42:39,-85,12,24852,2
2026-06-12 13:43:39,-85,11.300000190734863,24853,2
2026-06-12 13:44:39,-88,11.5,24854,2
2026-06-12 13:45:39,-85,10.800000190734863,24855,2
2026-06-12 13:46:39,-88,9.800000190734863,24856,2
2026-06-12 13:47:39,-86,11,24857,2
2026-06-12 13:48:39,-91,9.800000190734863,24858,2
2026-06-12 13:49:39,-87,10.800000190734863,24859,2
2026-06-12 13:50:39,-87,10.800000190734863,24860,2
2026-06-12 13:51:39,-86,11,24861,2
2026-06-12 13:52:40,-92,10.5,24862,2
2026-06-12 13:53:40,-87,11.800000190734863,24863,2
2026-06-12 13:54:40,-87,11,24864,2
2026-06-12 13:55:39,-86,10.300000190734863,24865,2
2026-06-12 13:56:39,-89,9.300000190734863,24866,2
2026-06-12 13:57:40,-88,11.300000190734863,24867,2
2026-06-12 13:58:39,-92,10.300000190734863,24868,2
2026-06-12 13:59:40,-89,9.5,24869,2
2026-06-12 14:00:40,-89,9.800000190734863,24870,2
2026-06-12 14:01:39,-88,10.800000190734863,24871,2
2026-06-12 14:02:39,-90,10.800000190734863,24872,2
2026-06-12 14:03:39,-91,11.300000190734863,24873,2
2026-06-12 14:04:39,-89,10.800000190734863,24874,2
2026-06-12 14:05:39,-86,10.300000190734863,24875,2
2026-06-12 14:06:39,-89,12.300000190734863,24876,2
2026-06-12 14:07:39,-88,12.800000190734863,24877,2
2026-06-12 14:08:40,-93,8.5,24878,2
2026-06-12 14:09:39,-89,10.5,24879,2
2026-06-12 14:10:39,-91,8.800000190734863,24880,2
2026-06-12 14:11:39,-86,11,24881,2
2026-06-12 14:12:39,-92,9.800000190734863,24882,2
2026-06-12 14:13:39,-89,9.800000190734863,24883,2
2026-06-12 14:14:39,-88,8.800000190734863,24884,2
2026-06-12 14:15:40,-89,9.800000190734863,24885,2
2026-06-12 14:16:39,-87,11.800000190734863,24886,2
2026-06-12 14:17:40,-89,10,24887,2
2026-06-12 14:18:40,-90,9.300000190734863,24888,2
2026-06-12 14:19:39,-87,9.300000190734863,24889,2
2026-06-12 14:20:39,-90,8.300000190734863,24890,2
2026-06-12 14:21:39,-87,8.800000190734863,24891,2
2026-06-12 14:22:39,-88,9.800000190734863,24892,2
2026-06-12 14:23:40,-88,9.300000190734863,24893,2
2026-06-12 14:24:40,-89,10,24894,2
2026-06-12 14:25:39,-87,9.800000190734863,24895,2
2026-06-12 14:26:40,-87,10,24896,2
2026-06-12 14:27:40,-88,9.300000190734863,24897,2
2026-06-12 14:28:39,-89,9.300000190734863,24898,2
2026-06-12 14:29:39,-88,8.800000190734863,24899,2
2026-06-12 14:30:39,-87,9.5,24900,2
2026-06-12 14:31:39,-89,10,24901,2
2026-06-12 14:32:40,-92,9.300000190734863,24902,2
2026-06-12 14:33:39,-88,9.800000190734863,24903,2
2026-06-12 14:34:39,-94,7,24904,2
2026-06-12 14:35:39,-89,10.5,24905,2
2026-06-12 14:36:39,-90,10,24906,2
2026-06-12 14:37:39,-87,8.800000190734863,24907,2
2026-06-12 14:38:39,-86,10.5,24908,2
2026-06-12 14:39:40,-87,12,24909,2
2026-06-12 14:40:39,-91,8.5,24910,2
2026-06-12 14:41:39,-90,10.300000190734863,24911,2
2026-06-12 14:42:39,-90,9,24912,2
2026-06-12 14:43:40,-88,9.5,24913,2
